Genotype,Control_flower,Drought_flower
DG_F3_483,0.5984489386448666,0.6430133070600574
DG_F3_485,-0.5494343365154484,0.2816814074816502
DG_F3_487,-0.22146768646964407,1.0043452066384648
DG_F3_493,-1.5333342866528612,-0.982980241042775
DG_F3_495,-1.3693509616299588,-0.4409823916751643
DG_F3_496,-1.5333342866528612,-0.982980241042775
DG_F3_497,-1.5333342866528612,-1.1636461908319784
DG_F3_498,-1.5333342866528612,-1.3443121406211822
DG_F3_502,0.7624322636677688,-0.982980241042775
DG_F3_504,-0.8774009865612525,-0.26031644188596065
DG_F3_506,-0.3854510114925461,-0.2603164418859608
DG_F3_507,-0.8774009865612525,-1.3443121406211822
DG_F3_509,1.2543822387364754,-0.6216483414643678
DG_F3_510,-0.057484361446741856,1.3656771062168722
DG_F3_511,2.566248838919692,2.630338754741297
DG_F3_513,-0.5494343365154484,0.2816814074816502
DG_F3_517,0.43446561362196445,1.1850111564276684
DG_F3_521,1.7463322138051811,0.823679256849261
DG_F3_523,-0.8774009865612525,-0.07965049209675694
DG_F3_524,0.9264155886906708,-0.4409823916751643
DG_F3_525,0.7624322636677688,2.630338754741297
DG_F3_527,1.9103155388280832,1.5463430560060754
DG_F3_532,-0.057484361446741856,-0.26031644188596065
DG_F3_534,2.8942154889654965,1.7270090057952787
DG_F3_536,0.10649896357616001,-0.982980241042775
DG_F3_538,3.3861654640342036,3.1723366041089083
DG_F3_540,-0.22146768646964407,0.4623473572708538
DG_F3_543,-1.3693509616299588,-0.982980241042775
DG_F3_544,-0.057484361446741856,-0.07965049209675694
DG_F3_545,-0.7134176615383505,-0.982980241042775
DG_F3_546,-0.22146768646964407,-0.4409823916751643
DG_F3_547,0.9264155886906708,-0.4409823916751643
DG_F3_548,1.090398913713573,1.1850111564276684
DG_F3_549,0.10649896357616001,-0.8023142912535715
DG_F3_550,1.7463322138051811,0.6430133070600574
DG_F3_551,-0.5494343365154484,-0.8023142912535715
DG_F3_556,-0.8774009865612525,-0.982980241042775
DG_F3_561,-0.8774009865612525,-0.982980241042775
DG_F3_562,-0.3854510114925461,-0.982980241042775
DG_F3_563,-1.3693509616299588,0.10101545769244655
DG_F3_565,-0.38545101149254624,-0.4409823916751643
DG_F3_566,-1.5333342866528612,-0.982980241042775
DG_F3_568,-1.5333342866528612,-0.6216483414643678
DG_F3_573,0.5984489386448666,0.4623473572708538
DG_F3_581,-0.057484361446741856,-0.26031644188596065
DG_F3_582,0.10649896357616037,0.6430133070600574
DG_F3_585,0.10649896357616001,1.3656771062168722
DG_F3_589,-1.0413843115841548,-0.982980241042775
DG_F3_592,-0.22146768646964407,0.4623473572708538
DG_F3_594,-0.8774009865612525,-0.8023142912535715
DG_F3_595,0.27048228859906226,-0.26031644188596065
DG_F3_598,-0.3854510114925461,0.10101545769244655
DG_F3_602,-0.22146768646964407,-0.6216483414643678
DG_F3_604,0.43446561362196445,1.3656771062168722
DG_F3_606,0.7624322636677685,1.0043452066384648
DG_F3_607,0.27048228859906226,0.4623473572708538
DG_F3_608,-0.8774009865612525,-1.1636461908319784
DG_F3_609,-1.0413843115841548,-0.982980241042775
DG_F3_610,-0.3854510114925461,0.10101545769244655
DG_F3_611,-0.22146768646964407,0.4623473572708538
DG_F3_612,1.9103155388280832,2.4496728049520935
DG_F3_613,-1.205367636607057,-1.3443121406211822
DG_F3_614,-0.7134176615383505,-0.26031644188596065
DG_F3_617,2.238282188873888,2.9916706543197042
DG_F3_618,-0.5494343365154484,-0.26031644188596065
DG_F3_619,-0.22146768646964407,0.2816814074816502
DG_F3_620,-0.3854510114925461,-0.6216483414643678
DG_F3_621,1.9103155388280832,1.0043452066384644
DG_F3_624,1.090398913713573,1.0043452066384644
DG_F3_628,1.9103155388280832,1.7270090057952787
DG_F3_630,0.43446561362196445,-0.4409823916751643
DG_F3_632,0.27048228859906226,-0.6216483414643678
DG_F3_633,-0.7134176615383505,-0.2603164418859608
