Genotype,W2_Control,W2_Drought,W3_Control,W3_Drought,W4_Control,W4_Drought,W5_Control,W5_Drought,cum_W2_Control,cum_W2_Drought,cum_W3_Control,cum_W3_Drought,cum_W4_Control,cum_W4_Drought,cum_W5_Control,cum_W5_Drought
DG_F3_032,-0.0025373157892147704,3.113575485298933e-10,0.1371324839796087,0.063199524372641,0.1417058922945048,0.022980607659892367,0.39638574164655443,0.3167677019782454,-0.0025373157892147704,3.113575485298933e-10,0.13103217555169613,0.10999521144106462,0.30328129839792406,0.09917900552348687,0.606270392631909,0.3684887253625402
DG_F3_033,-0.0025373157892147704,-6.087444556957764e-11,-0.17589214116260848,0.041701425870571664,-0.2211403172554097,-0.09694962201466668,-0.2395331439959464,-0.257669187199043,-0.0025373157892147704,-6.087444556957764e-11,-0.19380077352952463,0.03684436248302036,-0.46881042637248993,-0.11730985041185786,-0.6095518341693253,-0.30337860504357383
DG_F3_038,-0.0025373157892147704,3.113575485298933e-10,0.30865483979289016,0.11100916897277152,0.1269198607328387,0.022980607659892367,0.165162602433221,0.1223704081185724,-0.0025373157892147704,3.113575485298933e-10,0.30902492179928953,0.1962583197054862,0.39191231301769675,0.22096564647497632,0.4568523987936082,0.2973556623490299
DG_F3_040,-0.0025373157892147704,3.113575485298933e-10,0.23588075878099712,0.22666177893148745,0.19717188520060316,0.16230415950364377,0.2794166108013026,0.15856114658778084,-0.0025373157892147704,3.113575485298933e-10,0.2335055618095484,0.2512450059585048,0.35987357315038165,0.32746430296179524,0.42436117249965416,0.37223056494421597
DG_F3_042,-0.0025373157892147704,-6.087444556957764e-11,0.07936844620988859,0.11100916897277152,-0.019097640759807247,0.1573126778940213,0.24684587813706224,0.1737336732637712,-0.0025373157892147704,-6.087444556957764e-11,0.07108908726893795,0.10999521144106462,0.0762419212908396,0.22096564647497632,0.24810036182647552,0.2750815624866355
DG_F3_049,-0.0025373157892147704,-6.087444556957764e-11,-0.17589214116260848,-0.14807237478633603,-0.2211403172554097,-0.2312816922487956,-0.2395331439959464,-0.257669187199043,-0.0025373157892147704,-6.087444556957764e-11,-0.19380077352952463,-0.16345237214845032,-0.46881042637248993,-0.45920817632788413,-0.6095518341693253,-0.7147603898866641
DG_F3_051,-0.0025373157892147704,-6.087444556957764e-11,-0.17589214116260848,-0.14807237478633603,-0.1341252727583476,-0.09694962201466668,-0.019993289457444118,-0.02590077274801852,-0.0025373157892147704,-6.087444556957764e-11,-0.19380077352952463,-0.16345237214845032,-0.3381000784705961,-0.2661809173309817,-0.23189237496835985,-0.14225578287027427
DG_F3_054,-0.0025373157892147704,-6.087444556957764e-11,0.07936844620988859,0.09712100705193372,0.15493244823431693,0.07255857792445865,0.266336539040513,0.05874392358188598,-0.0025373157892147704,-6.087444556957764e-11,0.07108908726893795,0.09533695264481443,0.20695226919273343,0.16546997279536546,0.3256078308712756,0.2388732791027329
DG_F3_056,-0.0025373157892147704,-6.087444556957764e-11,-0.17589214116260848,-0.14807237478633603,-0.2211403172554097,-0.06177349230967029,-0.13835920738865456,-0.09946263180857853,-0.0025373157892147704,-6.087444556957764e-11,-0.19380077352952463,-0.16345237214845032,-0.46881042637248993,-0.21563489442490508,-0.46345321219875296,-0.27514894466735984
DG_F3_057,-0.0025373157892147704,-6.087444556957764e-11,0.34963907682455864,0.17885213433135694,0.3798630752578053,0.022980607659892367,0.2569162940630666,0.1737336732637712,-0.0025373157892147704,-6.087444556957764e-11,0.3515552197743835,0.18160006090923603,0.66337360223629,0.16546997279536546,0.7188874540321464,0.3358999741126949
DG_F3_059,0.011982486092550121,-6.087444556957764e-11,0.02160440844016847,0.11100916897277152,0.06791740373725484,0.1573126778940213,0.044498004922478455,0.07391645025787633,0.011982486092550121,-6.087444556957764e-11,0.04413506100082694,0.10999521144106462,0.0762419212908396,0.22096564647497632,0.1073381200094402,0.22195157695610568
DG_F3_063,-0.0025373157892147704,-6.087444556957764e-11,-0.019379828591499896,-0.06634124750691278,-0.1341252727583476,-0.14652759227923295,-0.03718527078136271,-0.02590077274801852,-0.0025373157892147704,-6.087444556957764e-11,-0.031384298988914254,-0.07718926388402873,-0.20738973056870244,-0.2661809173309817,-0.2502322638555619,-0.30337860504357383
DG_F3_066,-0.0025373157892147704,-6.087444556957764e-11,-0.17589214116260848,-0.14807237478633603,-0.2211403172554097,-0.2312816922487956,-0.2395331439959464,-0.15785196419314818,-0.0025373157892147704,-6.087444556957764e-11,-0.19380077352952463,-0.16345237214845032,-0.46881042637248993,-0.45920817632788413,-0.6095518341693253,-0.5682232414802293
DG_F3_068,-0.0025373157892147704,-6.087444556957764e-11,-0.07714386636122,-0.06634124750691278,-0.019097640759807247,0.12213654818902495,-0.03718527078136271,0.10017181420321128,-0.0025373157892147704,-6.087444556957764e-11,-0.09132738727167244,-0.07718926388402873,-0.13092907858987826,0.07571740858504449,-0.05330252670383353,0.1285444140802008
DG_F3_069,0.011982486092550121,-6.087444556957764e-11,0.17811672101127707,0.11100916897277152,-0.0471102282612855,0.2564686184231538,0.2989072717047533,0.1223704081185724,0.011982486092550121,-6.087444556957764e-11,0.2160927715018841,0.10999521144106462,0.15956060797754096,0.36667084426603946,0.38499333920788364,0.40953494108710375
DG_F3_070,-0.0025373157892147704,-6.087444556957764e-11,-0.019379828591499896,-0.06634124750691278,0.09080535426514068,0.07255857792445865,0.12317162479153435,0.23212300564834085,-0.0025373157892147704,-6.087444556957764e-11,-0.031384298988914254,-0.07718926388402873,0.13049161721390923,0.048632982617410093,0.1705928927816752,0.2973556623490299
DG_F3_075,-0.0025373157892147704,-6.087444556957764e-11,-0.17589214116260848,-0.14807237478633603,0.023141796206478996,-0.06177349230967029,-0.07917624842304934,3.545911973163272e-4,-0.0025373157892147704,-6.087444556957764e-11,-0.19380077352952463,-0.16345237214845032,-0.10186008782624664,-0.21563489442490508,-0.1464301597085389,-0.25024861951304395
DG_F3_076,-0.0025373157892147704,-6.087444556957764e-11,-0.07714386636122,-0.14807237478633603,-0.0832247347289835,-0.06177349230967029,-0.05667593168481345,-0.09946263180857853,-0.0025373157892147704,-6.087444556957764e-11,-0.09132738727167244,-0.16345237214845032,-0.13092907858987826,-0.21563489442490508,-0.1464301597085389,-0.3359673562934193
