Genotype,Replication,leaf_W1_Control,leaf_W1_Drought,leaf_W2_Control,leaf_W2_Drought,leaf_W3_Control,leaf_W3_Drought,leaf_W4_Control,leaf_W4_Drought,leaf_W5_Control,leaf_W5_Drought
DG_F3_051,3,0,0,2397.4153318183417,2469.6120068447804,9182.039393188235,6329.9384664582485,23665.664302677695,9609.896300348906,38625.08651233952,9443.084372652782
DG_F3_054,3,0,0,4512.675857034115,4455.464854753172,15339.238436992711,7958.477741896813,30591.470466577102,11096.567029092268,48751.918801486056,11480.385536796211
DG_F3_056,3,0,0,4174.75416499784,2796.855715949406,14224.786584036332,6287.983351117413,30670.232101963877,10267.295134851287,44000.62877379624,10969.77252784613
DG_F3_057,3,0,0,2979.941975159463,2457.361352942504,8758.003122115086,6613.619795389408,20512.90298580943,11616.577514258,32363.97166662445,12918.227664826187
DG_F3_059,3,0,0,2839.9538976787876,2772.3026618771455,8474.111255137195,4914.7396651983645,21058.467311673576,7812.912811898549,29844.9102355116,7665.612955700834
DG_F3_063,3,0,0,2413.8729480547877,3043.754827555606,4647.99174073313,5990.518727265131,9496.64288324414,8205.00125968907,15640.438849898535,8459.292186707531
DG_F3_066,3,0,0,6078.67745891132,4338.231112842779,20860.14526072302,9654.864814767197,45040.47534053207,11300.992239010964,73291.11831979683,13224.47534699745
DG_F3_068,3,0,0,2297.279791750075,3272.339987362185,7360.803878802259,4315.613216243704,16167.64702952963,8420.572516950177,27797.07609021729,8810.441728005671
DG_F3_069,3,0,0,5041.56304765872,3325.4240318798365,13469.287256794869,7459.656840985747,28194.48091277771,9054.927787690618,44852.32563663508,9237.885257132482
DG_F3_070,3,0,0,3518.7146410576265,3682.9304848732395,11484.383804968358,8581.925915586888,28993.45539849126,12097.571921137214,45058.38255679471,12187.563993833955
DG_F3_075,3,0,0,7466.446713904146,6984.828605876526,21655.76148463087,7795.521076041821,48657.80447812739,12454.751294328995,59252.15053088359,14448.686962583564
DG_F3_076,3,0,0,6915.123963500267,5039.278508424953,20572.384192661106,10600.59959018713,48280.29649137573,14935.529369486614,68510.01857439615,16261.862009516393
DG_F3_077,3,0,0,5620.341269485136,4287.672839421189,16337.649248356898,8521.768586334192,38746.419224474164,12669.226247864013,65668.04130994448,13632.215094118184
DG_F3_081,3,0,0,5391.027117176764,2885.629071231696,13506.592687930333,6628.473247975533,26459.083392855402,7458.44525621649,44128.61945591988,8630.739040377224
DG_F3_082,3,0,0,2963.6434051323963,2170.309721237552,7767.446073691655,4174.556109327121,15303.703683242282,5952.1069716136935,21668.331506683313,7817.015512378122
DG_F3_085,3,0,0,3593.094561389929,904.8251559945684,8947.097430921029,2134.510193836768,16624.3173106754,4499.08456351043,29590.760908625132,6680.965076514556
DG_F3_088,3,0,0,4295.765366383725,2692.195534713089,14775.806404600387,3013.1431772181086,32634.241369666295,4797.693528886773,52518.701855342355,5575.973069046154
DG_F3_090,3,0,0,5003.400080376796,5700.910357444773,16109.944370600191,10192.96077987856,39977.019500225,10933.159359480103,58072.05465104327,11936.561548240152
DG_F3_092,3,0,0,2087.3124063796986,1864.297624210095,6672.319673358631,4549.901402513131,17212.61393186482,8713.638301253552,32357.551259892174,9908.889534921731
DG_F3_093,3,0,0,3864.8020437907703,3368.6658202267868,12448.276166939902,3270.560328078111,25231.407748540663,5089.6283959837765,37494.622662925925,6842.845672002448
DG_F3_094,3,0,0,2945.298104698278,2746.2483330842633,10156.457532727025,7849.571453770609,26308.10075508279,11783.469197447324,45996.21001147224,13804.578829449329
DG_F3_095,3,0,0,2761.9892701971858,4135.522366331057,9083.619902957822,8617.904714192837,21452.35880600437,12272.58603497608,36197.22242438752,10188.177861912029
DG_F3_096,3,0,0,4743.361935701869,3997.145023181893,16082.014803845015,8620.330250758523,34571.27122271763,17165.785452497752,55226.53112302934,16971.42750128155
DG_F3_097,3,0,0,4591.1657713425575,3680.7187892442716,14243.375843036105,6241.715264828236,31953.33994362092,8039.87257306893,44409.637847294645,10559.519768898983
DG_F3_098,3,0,0,2801.731912186644,2626.876678437691,10708.4453558112,4722.814478364318,28831.71268710066,7162.626362733905,46850.12656354191,8853.220215842084
DG_F3_099,3,0,0,3224.410565520301,4358.133030534171,9448.089398117407,9294.514201097383,22079.14682237216,16172.181674284991,43662.19760170525,18209.151242806074
DG_F3_101,3,0,0,5522.39754563504,5060.3931191613465,17440.963750171813,4990.404556085616,37164.75636845093,9060.909381653031,53879.59038996812,10492.43661564076
DG_F3_102,3,0,0,4823.3175813239095,2933.711191448747,14814.382548662545,5598.341249664234,28832.373479052538,7824.9656776843685,50565.57693933965,10097.471853260959
DG_F3_103,3,0,0,4450.347329444765,3294.655096769867,12864.806383777486,6442.20426192173,24975.640254046764,7851.688778454325,45680.59287041957,9385.640234246388
DG_F3_106,3,0,0,1053.487166617722,1274.8484749090962,2673.500980999287,2261.6750988103895,7511.061232542641,3159.0215566987135,12211.744318965579,3099.1156204374092
DG_F3_107,3,0,0,2024.3617976565947,2992.515449327692,6470.89850786215,8287.919672163553,15920.430997977439,13274.176748814994,27537.580483880407,12201.272881954405
DG_F3_115,3,0,0,3132.8127476693053,3379.7939894956207,8803.409286356575,6797.290716592804,19341.27216170726,11067.076380227682,34735.405680318494,11709.65395440333
DG_F3_118,3,0,0,3196.9821508600016,2716.658556826107,9114.44598608427,2011.6326778704902,20131.462600268354,3414.180801004271,29254.629828673824,4159.596076887245
DG_F3_119,3,0,0,4998.34000025969,3259.2198566214656,14680.94443022262,7154.566075937178,29391.840954345033,11106.244782481432,44209.24854525054,10878.911660038362
DG_F3_120,3,0,0,3711.618686748145,3915.0386581267785,12098.91702733144,7421.089588569464,28705.567564148278,8857.21450739579,41063.17062133372,9193.683581268386
DG_F3_121,3,0,0,3713.455510390466,4549.303681713973,12031.907769175796,7218.924056391125,26196.990713135157,8765.511675868216,37453.646555185325,8532.999206255121
DG_F3_124,3,0,0,6112.099895840738,2924.1977918667976,17552.611555409596,6277.753253808005,39039.537860884324,9570.485561522442,56674.68360821822,9603.253631146317
DG_F3_126,3,0,0,6694.879936257403,4834.908122187453,18888.96921305876,8310.665643035318,41856.17660925574,10236.51726916918,59143.023539910355,10624.648383187454
DG_F3_127,3,0,0,7024.1360246742715,3889.406789080792,19116.33421506762,3941.9128099811023,42418.08415729717,4281.5490859931415,57126.87676792751,4201.914011311448
DG_F3_129,3,0,0,1129.338073127058,2427.458033039282,3502.638645088222,3352.1236952491518,8647.571550007873,6157.441937301078,13655.40090128083,7147.095937847661
DG_F3_131,3,0,0,4444.349082147816,3010.475840558624,13725.520254540985,7731.265242105826,30626.870196667995,10097.405624485353,49199.665735572875,10110.205884421603
DG_F3_132,3,0,0,3838.1891314881973,3880.3865486364093,10669.67669001997,7840.5309760719665,24253.56357941813,9265.766447217882,39624.58371967835,8709.985494894829
DG_F3_133,3,0,0,3515.1790200315463,3013.487066805734,10654.384997816642,6222.373014046407,24383.68717904855,7575.5170081718925,39577.15675992464,8396.305163114506
DG_F3_136,3,0,0,3634.696137919881,2834.493405087481,13634.21652570432,5424.36968366037,28326.72448757608,6582.000973590575,39167.560819191494,6886.000580528957
DG_F3_139,3,0,0,2129.3414862248674,3052.596201963527,7784.772621490242,3401.926425717519,20591.131570923408,4448.082408030373,35125.88886597724,5052.931485688273
DG_F3_145,3,0,0,3076.687735858053,4418.548990650735,11975.987224491557,5324.94762249033,31394.641936665743,6428.153158625425,55229.51374317774,6644.752599601099
DG_F3_150,3,0,0,1826.8939827553586,3475.3914958646974,6767.3681109205645,6530.464762736622,18414.286480527742,9799.924965675349,30041.420224634952,8392.46706431039
DG_F3_152,3,0,0,5910.767818611208,2707.7442707095565,19578.629826676763,4218.823863593221,33144.77143465786,5287.048612640372,44271.46439257508,5807.346522926267
DG_F3_154,3,0,0,2409.079537612922,2290.425019309684,7836.23115144156,5251.224742565911,16246.471046303326,6742.142834170941,25955.618001878618,5256.008397355967
DG_F3_157,3,0,0,3198.0418902706615,3255.9979675477425,11129.06214813126,7640.840978034396,27185.140610317434,10665.969008906135,40373.745227947045,10308.680562989439
DG_F3_159,3,0,0,1710.3042819261268,1594.6895872666641,5630.35130043539,4143.023742192556,14221.93459920124,9110.086431384454,26402.758368973016,10182.092388258527
DG_F3_163,3,0,0,4644.408385515795,1761.1333149379657,14584.111762007331,5642.780601416758,34515.96434537788,9141.418828826769,48726.648791989785,7288.172965187293
DG_F3_164,3,0,0,2970.712447534246,3316.6686892460184,9940.197365218282,6240.676864882407,24474.07052948382,8403.596795684036,36235.27927057609,7504.587420964246
DG_F3_165,3,0,0,3066.988872113223,3950.9329007928027,12847.99939523208,7052.362044099289,30994.862990384685,9236.570324655684,51432.60654843992,8558.433281693608
DG_F3_167,3,0,0,2812.759712290749,2865.2371106235423,11959.811980713039,6691.386280678835,28709.108061708455,9901.735616512526,44532.55679338899,8988.361710549547
DG_F3_175,3,0,0,6547.338088012718,4899.102881655598,19438.54332447607,11854.2936477882,41680.764370074125,16252.65534773334,53740.4158360363,15193.90540983529
DG_F3_179,3,0,0,5518.980486791312,3584.0871539651216,16317.262027361032,5250.986759395443,34910.46272619465,6746.701300853889,54290.859404198774,8191.957992896776
DG_F3_180,3,0,0,2254.1843393067384,2157.2742672671952,7102.420587381443,5495.39071410325,16995.23274649887,8529.273329912718,30718.351964557995,9447.201727984106
DG_F3_185,3,0,0,4747.535813963123,2918.0741470781727,12332.001131436382,6428.522031976003,27637.996533724,8575.984510160828,42213.569641128095,8236.909262850879
DG_F3_190,3,0,0,3745.559423315731,3198.5166314404587,10712.060550917447,5916.109427545545,24238.570324647884,7443.612144779908,37547.78969436989,8167.169824666557
DG_F3_194,3,0,0,2999.4724428066365,2852.763313836821,10723.589773939499,7836.005678446154,24946.752825497606,10966.737999313056,42471.748601241736,11095.169175896914
DG_F3_195,3,0,0,3547.6874374197887,1227.116716466705,11299.610542436862,4922.420146595999,20821.070370690857,9112.536239912075,17501.81728875875,9509.773883834145
DG_F3_196,3,0,0,2472.7589382977685,3371.113007780701,7465.062512870657,6315.859411081797,20659.53233620256,8941.273358621644,32524.702558599347,9330.686249776998
DG_F3_200,3,0,0,1616.7479416630167,528.6821848867114,3370.0850323562527,1685.5584269118856,4218.776693269184,2554.9858928501817,3462.335796706928,5123.434817141859
DG_F3_203,3,0,0,5679.812850357031,3281.6245706410277,15707.911706588418,7725.029482274798,40580.77528584349,10016.364223717646,56116.13191004253,11387.697673358236
DG_F3_210,3,0,0,3073.1159488924322,1971.9659758775585,11902.011866156841,5552.517776618031,28424.050601991396,8656.16671511319,51435.358206893834,10564.319980202206
DG_F3_212,3,0,0,2533.1693288171527,2989.7780802662523,9062.698877313605,5206.018841803165,22140.41381924344,6606.0691176352575,37459.334457504665,7891.99892082969
DG_F3_214,3,0,0,6484.343521327979,6491.332044921197,19176.907456945508,11947.716987371754,42698.80975246756,12318.414495584046,60140.74378275776,13967.53635908017
DG_F3_218,3,0,0,5301.439104943955,3617.990806711235,10701.225770049923,7391.044420733691,22990.84032253497,9117.26355757623,34805.78161612058,9182.456014743195
DG_F3_220,3,0,0,6183.068657174123,3647.086181987431,17522.419214212394,8607.53993514737,42652.22681795538,11048.663179567675,64205.97767305223,11405.985302499525
DG_F3_223,3,0,0,2600.255837855019,2358.8640851092705,7875.877368367805,4021.4168561100596,17278.918782279387,6256.097745177331,24986.62769685008,7550.784533721571
