Genotype,shoot_w_Control,shoot_w_Drought,root_w_Control,root_w_Drought
DG_F3_232,0.1099850811533472,0.05872137872325251,2.483146261522818e-4,0.00441239193494839
DG_F3_236,0.514585662119477,0.08342962429356827,0.122842939100573,0.005119091673758727
DG_F3_239,-0.007090831636851615,0.002899046138465309,-0.003979086217793233,0.0037056921961379943
DG_F3_241,0.4009531585289893,0.017540969439393178,0.06084106005603811,0.0037056921961379943
DG_F3_245,-0.1293318582266188,0.043164335216016717,-0.06598096526232791,-0.0026546054531557664
DG_F3_246,0.14441917315046482,-0.0044219155119984924,0.0298401205337711,-0.0019479057143454292
DG_F3_247,-0.5356541437926038,-0.12796314336357706,-0.02511609043752101,-0.014668501012932869
DG_F3_248,-0.4065262988034135,-0.03828136314539414,-0.11248237454572885,-0.015375200751743347
DG_F3_249,0.006682805161995065,-0.030045281288622293,-0.03920742658400626,-0.00689480388601819
DG_F3_250,0.404396567728701,-0.09227345531756555,0.0016574482408006476,-0.009014903102449586
DG_F3_255,0.09448973975464463,-0.0794617724292537,-0.07866316779416438,-0.026682396572710047
DG_F3_257,0.6006708921122702,-0.028215040876006327,0.022794452460528313,0.0029989924573275094
DG_F3_263,0.5111422529197656,0.01845608964570116,0.014339650772637241,0.012186089061862958
DG_F3_266,0.5335244127178913,-0.04834768541478216,0.005884849084746328,0.009359290106621343
DG_F3_269,-0.21025197441984445,0.001983925932157326,-0.06739009887697628,8.788932408963196e-4
DG_F3_270,-0.013908781852280831,-0.10050953717433757,0.021385318845879905,0.01006598984543174
DG_F3_271,-0.09145435702978942,-0.11698170088788136,2.4831462615219847e-4,0.02419998462164007
DG_F3_273,0.8657100982140832,-0.06024424809678588,0.13411600801776094,-0.008308203363639131
DG_F3_274,0.6540437347078023,-0.07214081077878973,0.14257080970565209,0.015012888017104679
DG_F3_276,0.06349905695723915,0.013880488614161178,-0.03357089212541204,0.018546386711156763
DG_F3_280,0.5197507759190443,0.13467635584681573,0.0678867281292809,0.03621388018141718
DG_F3_283,-0.5373758483924593,-0.04194184397062615,-0.03638915935470919,0.010065989845431814
DG_F3_285,0.3097028147366283,0.08983546573772436,0.005321195638886724,0.00370569219613792
DG_F3_286,0.5851755507135677,0.11637395172065594,2.483146261521568e-4,0.024199984621640126
DG_F3_287,-0.7973532429706961,0.07793890305572043,-0.11248237454572872,0.012186089061862942
DG_F3_292,1.5148960346357372,-0.011742877162462629,0.2271188265845627,0.0022922927185171126
DG_F3_293,0.9191862430856066,-0.03279064190754617,0.04815885752420169,-0.010428302580070459
DG_F3_294,-0.4065262988034135,-0.027299920669698344,-0.050480495501194225,0.015012888017104632
DG_F3_297,0.7211902141021814,0.1346763558468158,0.059431926441389865,0.012892788800673413
DG_F3_298,1.01387999607768,-0.05200816624001403,0.13975254247635488,0.0022922927185171863
DG_F3_299,-0.12072333522733902,-0.02546968025708224,-0.04343482742795185,8.788932408963196e-4
DG_F3_300,-0.4530123229995221,-0.10508513820587731,-0.0673900988769764,-0.014668501012932936
DG_F3_302,0.008404509761850946,-0.009912636749846594,-0.023706956822872438,-0.009721602841259997
DG_F3_304,0.16680133294859129,-0.021809199431850442,0.05520452559744431,-0.001947905714345444
DG_F3_305,-0.4306301632013956,-0.0758012916040218,-0.09275450394064949,-0.018201999706985023
DG_F3_307,0.1909051973465736,0.007474647170005293,0.01715791800193435,-0.002654605453155899
DG_F3_309,0.44399577352538583,0.0706179414052565,0.06365932728533522,0.006532491151379669
DG_F3_312,-0.4478472091999546,-0.06207448850940199,-0.032161758510763465,-0.028802495789141323
DG_F3_315,-0.12761015362676253,-0.0465174450021662,-0.09275450394064974,-0.0033613051919662218
DG_F3_316,0.36135395273230436,0.0751935424367964,-0.04343482742795168,-0.0026546054531558253
DG_F3_317,-0.9144291557608955,-0.1325387443951171,-0.1297442613251732,-0.016788600229364146
DG_F3_318,-0.09145435702978905,0.06329697975479269,-0.04625309465724879,0.03197368174855462
DG_F3_324,0.08415951215550971,-0.03828136314539421,0.034067521377716535,-0.013961801274122472
DG_F3_325,0.2787121319392232,0.061466739342176724,0.05097712475349867,0.0015855929797067752
DG_F3_328,0.09965485355421264,-0.048347685414782036,-0.002569952603144908,-0.008308203363639181
DG_F3_329,0.8141622624943986,0.0404189745970929,0.08197806427576584,0.00370569219613792
DG_F3_330,-0.14482719962532173,0.004729286551081276,-0.06457183164767942,-0.023148897878657967
DG_F3_331,-0.0019257178372836035,-0.09318857552387359,0.01997618523123133,-0.009014903102449586
DG_F3_332,0.2132873571446993,0.020286330058317127,-0.008206487061738871,-0.0033613051919661775
DG_F3_333,-0.10350628922878022,-0.03919648335170213,-0.05329876273049121,1.721935020859083e-4
DG_F3_334,-0.5253239161934687,-0.11423634026895732,-0.02665204607748796,-0.019615399184605958
DG_F3_335,-0.2302237477781723,-0.023639439844466342,0.027021853304473993,0.0022922927185171126
DG_F3_336,-0.4960549379959187,-0.09593393614279744,-0.07725403417951605,-0.013255101535312069
DG_F3_337,0.10309826275392404,0.01845608964570123,0.024203586075176926,-0.0026546054531557664
DG_F3_338,-0.39447436660442253,-0.01906383881292643,-0.03779829296935764,-0.007601503624828719
DG_F3_342,-0.45989914139894544,-0.053838406652630004,-0.04625309465724879,-0.0061881041472079115
