Genotype,Replication,drymass_shoot_Control,drymass_shoot_Drought,drymass_root_Control,drymass_root_Drought
DG_F3_469,2,1.6499999999999995,0.6200000000000001,0.6500000000000004,0.27000000000000046
DG_F3_473,2,2.1100000000000003,0.5499999999999998,0.4800000000000004,0.25
DG_F3_477,2,1.9699999999999998,0.47000000000000064,0.5300000000000002,0.4299999999999997
DG_F3_478,2,2.6800000000000006,0.5800000000000001,0.7700000000000005,0.22000000000000064
DG_F3_479,2,1.4800000000000004,0.3600000000000003,0.39999999999999947,0.20999999999999996
DG_F3_482,2,1.5499999999999998,0.6499999999999995,0.46999999999999975,0.2699999999999996
DG_F3_483,2,1.9400000000000004,0.9100000000000001,0.47999999999999954,0.22999999999999954
DG_F3_485,2,1.4299999999999997,0.8200000000000003,0.40000000000000036,0.3200000000000003
DG_F3_487,2,1.4799999999999995,0.79,0.4500000000000002,0.2400000000000002
DG_F3_493,2,3.570000000000001,1.0700000000000003,0.4900000000000002,0.3799999999999999
DG_F3_495,2,0.8099999999999996,0.6299999999999999,0.20999999999999996,0.22000000000000064
DG_F3_496,2,1.33,0.8099999999999996,0.34999999999999964,0.3100000000000005
DG_F3_497,2,1.7800000000000002,0.5899999999999999,0.5,0.29000000000000004
DG_F3_498,2,1.5700000000000003,0.45999999999999996,0.3899999999999997,0.20999999999999996
DG_F3_502,2,2.71,0.8399999999999999,0.46999999999999975,0.28000000000000025
DG_F3_504,2,2.289999999999999,0.7800000000000002,0.6300000000000008,0.29000000000000004
DG_F3_506,2,1.9900000000000002,0.4299999999999997,0.45999999999999996,0.2400000000000002
DG_F3_507,2,0.8099999999999996,0.2999999999999998,0.27000000000000046,0.21000000000000085
DG_F3_509,2,1.04,0.7399999999999993,0.3100000000000005,0.29000000000000004
DG_F3_510,2,0.9800000000000004,0.21999999999999975,0.33000000000000007,0.16000000000000014
DG_F3_511,2,1.8099999999999996,0.7000000000000002,0.5600000000000005,0.27000000000000046
DG_F3_513,2,1.6900000000000004,0.7300000000000004,0.45999999999999996,0.28000000000000025
DG_F3_517,2,1.9500000000000002,0.54,0.45999999999999996,0.20000000000000018
DG_F3_521,2,1.4500000000000002,0.4299999999999997,0.2900000000000009,0.2600000000000007
