Genotype,shoot_w_Control,shoot_w_Drought,root_w_Control,root_w_Drought
DG_F3_093,-0.1318107033710098,-0.05560890633712819,-0.030218293889081357,-6.962039758067679e-4
DG_F3_094,-0.0837424720051289,0.01631860434836889,-0.023263747608016392,0.003896038824347151
DG_F3_095,-0.050331249236908064,-0.018416611305358155,0.0035196009918847526,0.005511493644010684
DG_F3_096,0.06463708558374605,-0.011506971297585693,-0.013159344057830953,2.1349690931544835e-4
DG_F3_097,-0.014601002060601945,-0.010101675521982675,0.004427397182836553,-0.028287286591071513
DG_F3_098,0.09942268514106457,-0.028977902138108327,-0.0057808326270959035,-0.007323200714448944
DG_F3_099,-0.06263285973740755,0.025287969169440146,-0.028783175833409513,0.003996714821723752
DG_F3_101,-0.0804678085008266,-0.005408758988231815,-0.0347227846794589,-0.004216364356087319
DG_F3_102,-0.015142031760901358,-0.010259495848163658,7.090523725942738e-4,0.008086069051545765
DG_F3_103,0.0740930762122216,0.021044800349600164,0.019987873161031983,0.006942819327433918
DG_F3_106,-0.19039712370425704,-0.037532681158441585,-0.03452878418556617,-0.004479791986841606
DG_F3_107,-0.31580752716672683,-0.012130604141735852,-0.08356305059263314,0.0028633754639626374
DG_F3_115,-0.030537536559025698,0.020389747799413233,-0.008947931418224293,0.009294015488898114
DG_F3_118,-0.034413053846508716,-0.007446743037256606,0.06635304398650013,0.006153010282962524
DG_F3_119,0.004499305141492431,0.02680416464586173,0.018831286047320435,0.004055243884501832
DG_F3_120,0.05837709968675524,0.02398894851486454,0.05034751934140502,-3.05048558798128e-4
DG_F3_121,-0.18760306237518296,-0.010795780646648274,-0.029778918409356762,0.005023569821632105
DG_F3_124,0.2292580935583846,0.012616522415288552,0.06528920349070232,0.0037223053376710864
DG_F3_126,0.16306793862177257,0.040774165109747094,0.024484141587739563,0.013291559810432004
DG_F3_127,0.04352418238416013,-0.046581257131081716,0.043363982442414795,-0.001911860808163695
DG_F3_129,-0.30928686784615717,-0.0478163541754755,-0.09355475085874432,-0.017519334064816084
DG_F3_131,0.07577191336589423,0.05490940190398804,0.06286989097807154,5.617396243909884e-4
DG_F3_132,0.0026862637492810182,0.02889887064924732,-0.005803253607933541,0.003966211603145358
DG_F3_133,-0.164297794855335,0.004028995508269267,-0.03717675182743935,0.004208879511741589
DG_F3_136,-0.012543227145599113,0.00663222521947555,0.0324566056833262,-0.0036663254556725485
DG_F3_139,0.02750535742875989,0.033142467083558044,0.016836362491244813,-0.0027709327403480206
DG_F3_145,0.18201381497828012,0.01127453283077574,0.04542401257438433,9.811582431063556e-4
DG_F3_150,-0.15415005966686976,0.010659059150046505,-0.07058788818502953,-0.011642802749773891
DG_F3_152,0.11856260551046895,0.042081737188563104,0.04665683697435305,-0.0017284417628331997
DG_F3_154,0.01886490045941636,0.025463684913575743,-0.040925249018294266,-0.008357991922253035
DG_F3_157,0.06813781996570409,0.04355987862389768,0.06405464922883627,0.01916187942417122
