Genotype,Control_w_2,Drought_w_2,Control_w_3,Drought_w_3,Control_w_4,Drought_w_4,Control_w_5,Drought_w_5
DG_F3_185,1268.9469570855329,-152.0390424347407,2215.2363961712394,402.25709159613587,2010.1541727778877,-145.54614909598976,1186.2241366468365,-409.48436143131687
DG_F3_190,-261.8810330419808,-92.10356154735736,-2105.9010517385914,-208.369947146686,-5219.959217027129,-634.5622332504208,-8842.816405464315,-728.7978153792609
DG_F3_194,474.2274409364484,-65.89609828854249,1370.4161875554094,-291.1396308266459,56.23761715117627,-477.2566534084031,-1429.9245840984725,-549.7237150227736
DG_F3_195,-345.45769120559305,-357.3681620404702,-1368.8638427339788,-686.0716082160538,-5577.819063447388,-158.99244433009176,-12027.128313767127,-251.5998705503405
DG_F3_196,-305.40275905109416,-371.4650971008932,-1345.4483608537453,-677.0323142921644,-3362.046297658658,-211.98712310621346,-4875.463537656666,-37.90577662235718
DG_F3_200,64.32242626080311,156.9576241413336,-769.6128850536484,690.7214250480846,-6954.458238091,18.85679058600648,-14822.235195236239,-1.9646733061121298
DG_F3_203,325.4968978898749,37.09513760568068,848.9941363344285,607.5577440543432,2217.368674428807,363.8649780947151,316.0148917701743,213.57153637677797
DG_F3_210,302.27822339563807,0.2849956375525344,953.8835824485657,684.0313676536748,1259.5595391009517,-26.16265319894323,2671.9347163083976,9.421308498697533
DG_F3_212,-656.5011909298082,-361.6703244744869,-1370.1267590679358,-896.7875118400283,-3144.8426368482374,-694.3551576074248,-2936.968011360808,-240.91736030469738
DG_F3_214,115.81514590800793,-39.16977656374673,1020.2022139339475,338.95485744789926,3520.70370033598,23.421527970133006,7455.754954022492,65.35270161386381
DG_F3_218,-178.08463552640998,-17.0447257311092,-1602.7847377348994,538.9181426383244,-3726.84274381226,72.44399946749071,-6850.698067089472,2.3736811916682696
DG_F3_220,815.6117885973506,-67.38393995904623,3332.3429320488713,558.5846839214204,8129.2050074979015,214.29640390350173,13372.649856151043,108.78210280435053
DG_F3_223,-861.4142718760388,-55.72404636713083,-2749.5632486658737,-11.285965652866594,-6872.746491147544,-230.12527365037883,-11373.355204035946,-364.4923325947702
DG_F3_225,-1221.399433659969,-505.0896826442817,-4296.928364824655,-1186.5022011022102,-9827.387190523717,-553.2272364980158,-17172.574314558748,-500.4507609290688
DG_F3_227,28.311002328188536,-30.78429354282649,202.6928906823278,502.1832049821644,415.2040734205804,311.58669808853574,-2254.129198336388,209.97889311417552
DG_F3_230,-925.9004596046753,-186.12671867958193,-3315.340876448594,-605.7821271302993,-7681.576315059482,-641.4951453449203,-12761.879191360737,-763.092697786077
DG_F3_231,4.9952134424804076,-154.99098572130882,-426.8107504620478,-706.2547921320898,-1858.0791311196438,-522.5318902834177,-3071.629360213154,-365.4926612841632
DG_F3_232,499.69510545888824,162.73392539047742,893.4599317857582,658.6263420206914,91.80472281662895,263.094001904952,-3073.8141153030747,38.4431415531789
DG_F3_236,490.64824568572476,135.68155618441742,992.7899931612343,770.6957263849094,2929.0675697891384,246.60848594491534,174.20250696306286,-263.3361704619938
DG_F3_239,-242.21237171291293,-28.985878104788437,53.75700422863426,90.06449970630919,1754.702240874306,266.42255158691313,3465.1350702215595,111.98350361174049
DG_F3_241,629.9456943159114,-9.496592216858145,1418.6774247918195,43.46883020757526,1921.9493361754242,244.53730338101587,7958.636137731883,201.37367359095498
DG_F3_245,138.45923882239177,161.40630985108024,80.72076382029707,318.1125499815813,-2428.951493945158,213.27067935747783,-4847.109304966602,-107.25891387125296
