Genotype,Control_shoot_w,Drought_shoot_w,Control_root_w,Drought_root_w
DG_F3_075,-0.19303513087039167,-0.019063799581278906,-0.08570787822264685,0.027026735082550712
DG_F3_076,0.323476782244099,-0.024554508954815178,0.06506773109556072,0.014306162699667406
DG_F3_077,0.21328757411300758,0.029437466551624974,0.04534008127822515,1.7219338535278764e-4
DG_F3_081,-0.19647854362448813,-0.027299863641583218,0.06365861325146535,0.015719559631098983
DG_F3_082,-0.4598996193128787,0.001983919683943604,-0.043434342899784706,-5.345050803629857e-4
DG_F3_085,-1.0573317321486393,-0.0016765532317472903,-0.14066347414236713,-0.013255077463246416
DG_F3_088,-1.0624968512797839,-0.1782943714138305,-0.12516317785731784,-0.024562252914698195
DG_F3_090,-0.09834128013273506,-0.033705691244042144,0.017157724396317277,0.022079845822540564
DG_F3_092,-0.5511500572964385,-0.021809154268046804,-0.0349796358352124,0.030560227411129518
DG_F3_093,-0.6200183123783706,-0.11789656830493159,-0.05470728565254789,-5.345050803630595e-4
DG_F3_094,-0.4598996193128787,0.02669211186485667,-0.046252578587975705,0.005825781111078594
DG_F3_095,-0.2894506879850967,-0.04743246467788299,0.0030665459553631726,0.007945876508225768
DG_F3_096,0.30453801209656733,-0.03736616415973311,-0.02229757523835386,1.7219338535271386e-4
DG_F3_097,-0.11555834390321809,-0.03370569124404221,0.003066545955363256,-0.03586942836615005
DG_F3_098,0.4749869434243501,-0.07031042040095076,-0.005388161109209214,-0.011134982066099124
DG_F3_099,-0.23263437754250224,0.04682471290115646,-0.050479932120261944,0.006532479576794308
DG_F3_101,-0.3256065219031112,-0.017233563123433323,-0.05752552134073877,-0.006188092806089043
DG_F3_102,-0.09834128013273506,-0.024554508954815178,-0.003979043265113691,0.01289276576823602
DG_F3_103,0.43022257762109356,0.05780613164822908,0.02983978499317569,0.01077267037108879
DG_F3_106,-0.4289089045260093,-0.05566852873818724,-0.0420252250556896,-0.006894791271804713
DG_F3_107,-1.1055395107059915,-0.03828128238865563,-0.1350270027659858,0.0037056857139314055
DG_F3_115,-0.008812548526223863,0.037673530611929226,-0.011024632485590682,0.014306162699667467
DG_F3_118,0.011847927998355984,-0.009912617292051668,0.1594786266499522,0.010065971905372987
DG_F3_119,-0.0552986207065275,0.06329684102176508,0.03688537421365268,0.005825781111078639
DG_F3_120,0.20295733585071746,0.04957006758792456,0.09888655935385014,-0.0012412035460787742
DG_F3_121,-0.7405377587717518,-0.03553592770188752,-0.053298167808452576,0.007239178042510098
DG_F3_124,1.1154617156863176,0.023946757178088703,0.13129626976804434,0.005119082645362924
DG_F3_126,0.8692577037684105,0.09898645194975089,0.049567434810511214,0.02066644889110913
DG_F3_127,0.17368832744089682,-0.08678254852155945,0.09325008797746838,-0.003361298943225962
DG_F3_129,-1.0349495492470115,-0.10783026778678176,-0.14489082767465336,-0.026682348311845436
DG_F3_131,0.28215582919493964,0.13559118110665938,0.12706891623575817,1.7219338535278764e-4
DG_F3_132,-0.05874203346062433,0.07061778685314701,-0.011165544270000133,0.005825781111078639
DG_F3_133,-0.5167159297554721,0.001983919683943604,-0.06034375702892965,0.00582578111107852
DG_F3_136,-0.09145445462454214,0.030352584780547767,0.05520390618689297,-0.006188092806088984
DG_F3_139,0.05661229380161214,0.0953259790340602,0.0354762563695574,-0.004774695874657466
DG_F3_145,0.8124413933258169,0.016625811346706914,0.07634067384832398,8.788918510683999e-4
DG_F3_150,-0.6716695036898197,0.02120140249132033,-0.11670847079274564,-0.018201966723256486
DG_F3_152,0.4887605944407355,0.09990157017867361,0.0805680273806103,-0.00336129894322608
DG_F3_154,0.1306456680146889,0.059636368106074464,-0.06316199271712049,-0.01325507746324635
DG_F3_157,0.28215582919493926,0.10630739778113275,0.12847803407985336,0.031266925876845236
DG_F3_159,-0.09145445462454214,0.11454346184143693,-0.018070221706067795,0.007945876508225813
DG_F3_163,0.16335808917860672,-0.03096033655727398,0.04534008127822515,-0.0019479020117945036
DG_F3_164,0.049725468293418854,0.09532597903406,0.012930370864031083,0.029146830479698002
DG_F3_165,0.25633023353921514,0.0953259790340602,0.04111272774593904,0.03621381513685543
DG_F3_167,1.0887924839058392,0.10356204309436458,0.07915890953651465,0.0015855903167842323
DG_F3_175,0.19090539121137948,0.061466604563919766,-0.03920698936749847,0.01077267037108873
DG_F3_179,0.05661229380161214,-0.023639390725892318,0.031248902837271334,-0.00477469587465754
DG_F3_180,-0.29633751349328946,0.02760723009377946,-0.003979043265113691,0.01077267037108879
DG_F3_185,0.416448926604707,0.02669211186485687,0.059431259719179085,-0.00830818820323622
DG_F3_190,-0.26190338595232376,0.0550607769614609,-0.003979043265113566,-0.009014886668951942
DG_F3_194,0.06522082568685401,0.0010688014550208804,0.011521253019935642,0.0037056857139314055
DG_F3_195,-0.7353726396406065,-0.065734829256337,-0.051889049964357135,1.7219338535266957e-4
DG_F3_196,-0.4185786662637193,-0.06115923811172358,0.02138507792860347,0.0015855903167841733
DG_F3_200,-0.7422594651488001,0.02577699363593415,-0.13361788492189028,-0.0026546004775103065
DG_F3_203,-0.1568792969523774,-0.02089403603912415,0.052385670498701964,0.007239178042510098
DG_F3_210,0.28215582919493926,0.029437466551624974,-0.03920698936749888,-0.001241203546078789
DG_F3_212,-0.4203003726407678,-0.09593373081078652,-0.07443493546988354,-0.021735459051835243
DG_F3_214,0.20123562947366996,-0.04834758290680565,0.0566130240309882,0.007945876508225813
DG_F3_218,-0.37209259408341533,0.0431642399854655,-0.06457111056121571,0.0029989872482156323
DG_F3_220,0.6402707556209867,-0.013573090207742628,0.05802214187508356,-0.0040679974089417505
DG_F3_223,-0.7095470439848822,0.019371166033475152,-0.0871169960667422,-0.00336129894322608
DG_F3_225,-1.0108456599683353,-0.15267106100399477,-0.13502700276598567,-0.012548378997530633
DG_F3_227,0.02734328539179078,0.023946757178088637,-0.04766169643207107,0.0037056857139314055
DG_F3_230,-0.6114097804931289,-0.0739708933166414,-0.0504799321202617,-0.023855554448982415
DG_F3_231,-0.41341354713257433,-0.1014244401843228,-0.03638875367930788,-0.01325507746324635
