Orthogroup	Arabidopsis	Hap1_v1.5_protein_chr16	Hap1_v1.5_protein_chr8	Total
OG0000328	4	7	7	18
OG0000329	1	10	7	18
OG0000330	1	7	10	18
OG0000331	0	16	2	18
OG0000332	0	13	5	18
OG0000333	0	18	0	18
OG0000334	0	4	14	18
OG0000335	0	18	0	18
OG0000336	0	18	0	18
OG0000337	0	17	1	18
OG0000338	0	16	2	18
OG0000339	0	7	11	18
OG0000340	0	3	15	18
OG0000341	0	17	1	18
OG0000342	0	8	10	18
OG0000343	0	1	17	18
OG0000344	0	5	13	18
OG0000345	0	6	12	18
OG0000346	0	2	16	18
OG0000347	0	0	18	18
OG0000348	0	0	18	18
OG0000349	0	0	18	18
OG0000350	17	0	0	17
OG0000351	5	5	7	17
OG0000352	17	0	0	17
OG0000353	5	6	6	17
OG0000354	2	3	12	17
OG0000355	7	5	5	17
OG0000356	0	17	0	17
OG0000357	0	16	1	17
OG0000358	0	17	0	17
OG0000359	0	10	7	17
OG0000360	0	17	0	17
OG0000361	0	2	15	17
OG0000362	0	17	0	17
OG0000363	0	15	2	17
OG0000364	0	16	1	17
OG0000365	0	17	0	17
OG0000366	0	5	12	17
OG0000367	0	17	0	17
OG0000368	0	17	0	17
OG0000369	0	17	0	17
OG0000370	0	5	12	17
OG0000371	0	1	16	17
OG0000372	0	2	15	17
OG0000373	0	10	7	17
OG0000374	0	1	16	17
OG0000375	0	1	16	17
OG0000376	0	8	9	17
OG0000377	0	9	8	17
OG0000378	0	1	16	17
OG0000379	0	0	17	17
OG0000380	0	0	17	17
OG0000381	0	0	17	17
OG0000382	0	0	17	17
OG0000383	5	5	6	16
OG0000384	16	0	0	16
OG0000385	6	5	5	16
OG0000386	3	4	9	16
OG0000387	16	0	0	16
OG0000388	4	7	5	16
OG0000389	16	0	0	16
OG0000390	16	0	0	16
OG0000391	2	8	6	16
OG0000392	2	7	7	16
OG0000393	12	2	2	16
OG0000394	5	6	5	16
OG0000395	3	6	7	16
OG0000396	0	16	0	16
OG0000397	0	8	8	16
OG0000398	0	14	2	16
OG0000399	0	7	9	16
OG0000400	0	10	6	16
OG0000401	0	16	0	16
OG0000402	0	16	0	16
OG0000403	0	13	3	16
OG0000404	0	16	0	16
OG0000405	0	15	1	16
OG0000406	0	14	2	16
OG0000407	0	5	11	16
OG0000408	0	4	12	16
